
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.51963e+00 1.67368e+00 1.32734e+01 5.67838e-01 9.30929e-01 6.28367e-02 1.15619e+00 1.78944e+00 0.00000e+00 5.07142e+00 2.84642e-01 6.99124e-01 -1.00156e-01 4.78682e-01 1.08477e+01 7.80220e-01 9.30929e-01 9.30929e-01 4.81899e+00 0.00000e+00 1.59918e+01 9.90257e-01 1.00000e+00 9.95577e-01 1.22361e+00 1.00000e+00 1.14714e+00 5.00670e-01 -1.02235e+00 2.24200e+00 -1.15138e+01 2.51666e+00 -2.55267e+01 -1.55170e+02 -1.55067e+02 -1.03143e+00 -1.03065e+00 -1.11880e+00 -2.22577e-01 -1.19259e+01 -2.63593e+01 1.65685e+02 2.05767e+02 1.19256e-01 -1.54390e+04 6.89802e+05 1.98559e+02 -1.68879e+08 1.44277e+02 1.42835e+02 1.42358e+02 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 6.2000000e-01 -6.9989212e-01 -3.2336654e-02 3.3217342e-01 1.9614783e-01 3.8821102e+34 5.6783832e-01
3.2996700e-01 6.2666667e-01 -6.9959415e-01 -3.2305039e-02 3.3206380e-01 1.9600621e-01 3.8679375e+34 5.6783832e-01
3.2996700e-01 6.3333333e-01 -6.9929332e-01 -3.2273142e-02 3.3195311e-01 1.9586317e-01 3.8536445e+34 5.6783832e-01
3.2996700e-01 6.4000000e-01 -6.9898964e-01 -3.2240965e-02 3.3184135e-01 1.9571870e-01 3.8392323e+34 5.6783832e-01
3.2996700e-01 6.4666667e-01 -6.9868311e-01 -3.2208511e-02 3.3172853e-01 1.9557283e-01 3.8247017e+34 5.6783832e-01
3.2996700e-01 6.5333333e-01 -6.9837375e-01 -3.2175783e-02 3.3161466e-01 1.9542554e-01 3.8100539e+34 5.6783832e-01
3.2996700e-01 6.6000000e-01 -6.9806157e-01 -3.2142784e-02 3.3149975e-01 1.9527684e-01 3.7952899e+34 5.6783832e-01
3.2996700e-01 6.6666667e-01 -6.9774658e-01 -3.2109518e-02 3.3138381e-01 1.9512673e-01 3.7804108e+34 5.6783832e-01
3.2996700e-01 6.7333333e-01 -6.9742879e-01 -3.2075989e-02 3.3126683e-01 1.9497522e-01 3.7654177e+34 5.6783832e-01
3.2996700e-01 6.8000000e-01 -6.9710822e-01 -3.2042198e-02 3.3114883e-01 1.9482232e-01 3.7503116e+34 5.6783832e-01
3.2996700e-01 6.8666667e-01 -6.9678487e-01 -3.2008151e-02 3.3102981e-01 1.9466802e-01 3.7350936e+34 5.6783832e-01
3.2996700e-01 6.9333333e-01 -6.9645875e-01 -3.1973850e-02 3.3090976e-01 1.9451233e-01 3.7197647e+34 5.6783832e-01
3.2996700e-01 7.0000000e-01 -6.9612988e-01 -3.1939299e-02 3.3078868e-01 1.9435525e-01 3.7043261e+34 5.6783832e-01
3.2996700e-01 7.0666667e-01 -6.9579826e-01 -3.1904501e-02 3.3066658e-01 1.9419678e-01 3.6887786e+34 5.6783832e-01
3.2996700e-01 7.1333333e-01 -6.9546391e-01 -3.1869459e-02 3.3054345e-01 1.9403694e-01 3.6731235e+34 5.6783832e-01
3.2996700e-01 7.2000000e-01 -6.9512684e-01 -3.1834175e-02 3.3041928e-01 1.9387572e-01 3.6573616e+34 5.6783832e-01
3.2996700e-01 7.2666667e-01 -6.9478705e-01 -3.1798652e-02 3.3029406e-01 1.9371313e-01 3.6414940e+34 5.6783832e-01
3.2996700e-01 7.3333333e-01 -6.9444455e-01 -3.1762891e-02 3.3016779e-01 1.9354916e-01 3.6255216e+34 5.6783832e-01
3.2996700e-01 7.4000000e-01 -6.9409936e-01 -3.1726895e-02 3.3004044e-01 1.9338384e-01 3.6094453e+34 5.6783832e-01
3.2996700e-01 7.4666667e-01 -6.9375147e-01 -3.1690663e-02 3.2991201e-01 1.9321715e-01 3.5932663e+34 5.6783832e-01
3.2996700e-01 7.5333333e-01 -6.9340091e-01 -3.1654197e-02 3.2978250e-01 1.9304910e-01 3.5769852e+34 5.6783832e-01
3.2996700e-01 7.6000000e-01 -6.9304767e-01 -3.1617496e-02 3.2965188e-01 1.9287970e-01 3.5606031e+34 5.6783832e-01
3.2996700e-01 7.6666667e-01 -6.9269176e-01 -3.1580559e-02 3.2952014e-01 1.9270894e-01 3.5441208e+34 5.6783832e-01
3.2996700e-01 7.7333333e-01 -6.9233319e-01 -3.1543385e-02 3.2938729e-01 1.9253684e-01 3.5275393e+34 5.6783832e-01
3.2996700e-01 7.8000000e-01 -6.9197197e-01 -3.1505974e-02 3.2925331e-01 1.9236340e-01 3.5108594e+34 5.6783832e-01
3.2996700e-01 7.8666667e-01 -6.9160811e-01 -3.1468321e-02 3.2911819e-01 1.9218861e-01 3.4940819e+34 5.6783832e-01
3.2996700e-01 7.9333333e-01 -6.9124161e-01 -3.1430427e-02 3.2898195e-01 1.9201248e-01 3.4772079e+34 5.6783832e-01
3.2996700e-01 8.0000000e-01 -6.9087249e-01 -3.1392288e-02 3.2884459e-01 1.9183502e-01 3.4602381e+34 5.6783832e-01
3.2996700e-01 8.0666667e-01 -6.9050076e-01 -3.1353902e-02 3.2870612e-01 1.9165622e-01 3.4431737e+34 5.6783832e-01
3.2996700e-01 8.1333333e-01 -6.9012642e-01 -3.1315268e-02 3.2856655e-01 1.9147610e-01 3.4260154e+34 5.6783832e-01
3.2996700e-01 8.2000000e-01 -6.8974949e-01 -3.1276385e-02 3.2842590e-01 1.9129464e-01 3.4087645e+34 5.6783832e-01
3.2996700e-01 8.2666667e-01 -6.8936997e-01 -3.1237252e-02 3.2828421e-01 1.9111186e-01 3.3914219e+34 5.6783832e-01
3.2996700e-01 8.3333333e-01 -6.8898790e-01 -3.1197870e-02 3.2814151e-01 1.9092776e-01 3.3739889e+34 5.6783832e-01
3.2996700e-01 8.4000000e-01 -6.8860326e-01 -3.1158241e-02 3.2799782e-01 1.9074234e-01 3.3564666e+34 5.6783832e-01
